cca,Prommm,Decaim,haCorr,pc1,pc2,Altmed,Altdif,Pendmd,LLanuras,LomT,VallTot,Vp_Vt,Rugos,InsVer,InsEq,InsInv,PG,PF,PCR,CES,PR,PRL,R,RT,ndvip16,ndviv1617,ndvio17,ndvii17
21,4.96906469893743,0.268802079351732,44,1.0354416,2.90192996,2100.8395,10.7036527325106,11.2362,9.00662251655629,37.1302428256071,33.0905077262693,9.07271514342895,5.7578,79.7671,58.085,34.3172,17.9029,16.8212,8.3443,2.0751,25.5188,0.286975496688742,29.0507777041943,38.7422317880795,0.155436932257456,0.187369005210724,0.133819769468841,0.104018499582053
22,0.0367825801991217,0.895009836346273,43.4,-5.1739123,-2.06036585,2150.6945,4.85741392575133,6.9014,31.9363514119229,28.7763334827432,32.5638727028238,13.2140399174123,4.7214,80.6316,58.1002,34.1788,76.9162,11.1609,2.779,2.5101,3.3617,0,3.27207539220081,7.40970192738682,0.240188119380562,0.283291953041201,0.195241940599297,0.138723894330547
23,1.052802985801,0.911886161532896,35.2,-3.3961238,0.4081986,2112.3043,11.9670475587225,7.7454,27.0581778265642,27.6619099890231,32.6015367727772,15.3198653198653,5.0839,82.2953,60.2333,36.3117,83.4797,11.8002,0.6038,1.5367,0.7958,0,1.78373216245884,4.34386937431394,0.187884896984571,0.2364406797736,0.152903974097275,0.117029906286178
24,1.10822860395575,0.466155792181285,44.7,-3.3365058,1.76443646,2070.5342,8.07681244853804,6.5558,31.6098196828156,27.8948511840104,31.7401694547035,8.0082135523614,4.1914,82.1425,59.6181,35.6735,77.3409,11.9705,2.2593,3.5412,0.3041,0,4.58394718661742,6.98086248099066,0.169010978959,0.221912845380266,0.146842745974104,0.110820498838169
25,0.106183789670138,0.999280352340486,61.5,-5.5349445,-1.43301866,2156.5455,6.12073644540805,6.1596,36.2628661916073,29.1844813935075,29.9920823436263,2.69271383315734,4.1556,80.5527,57.9093,33.9667,86.1757,5.574,1.1718,4.7822,1.156,0,1.14017688044339,3.95683768804434,0.246427507751158,0.276848537119032,0.180945063016574,0.132903841173774
26,3.31976252242168,0.0740318176313031,18.4,5.929905,1.70219315,1842.9724,20.748231983347,22.2187,1.80467091295117,43.9490445859873,45.2229299363057,52.5821596244131,10.7102,78.492,62.4076,39.2495,0,0,13.7473,0.1062,17.7282,1.32695711252654,67.0913,62.6207537154989,0.151552648737157,0.174476096134148,0.138483296512788,0.113392552412896
27,0.986180161917365,0.195973352640192,19.1,4.3106425,2.24219941,1824.9367,23.5678812407482,16.6571,7.0262246412667,38.2483918852054,42.4047501237011,43.757292882147,9.4372,80.6764,61.5893,38.0995,0.2969,0.0495,5.4923,2.7214,13.4092,0.3958,77.6348,67.9324195942603,0.152151324077434,0.173973758069972,0.143341126364371,0.120321609147174
28,6.77173511020408,0.0706120791171901,16,3.7670274,-2.37242633,2280.2344,24.75,19.1425,1.23674911660777,50.2944640753828,27.6796230859835,43.6170212765958,10.9119,80.1131,62.1278,38.6125,0.3534,0,12.0141,14.0754,18.6101,5.83042638398115,49.1166784452297,52.6088810365135,0.178776936580531,0.221654861895357,0.171577584947275,0.123749455735594
29,10.3968750985928,0.147746176232359,9.47,5.9691769,-2.52243288,2270.7096,25.0216379432744,23.3806,4.75718533201189,50.8424182358771,38.3548067393459,66.9250645994832,15.4308,75.6244,59.3072,36.0565,0,0,5.6492,1.8831,37.6611,17.1457020812686,37.661,53.4444301288404,0.166621364311337,0.218624927695173,0.146055336943943,0.112360515135686
30,0.604698439375751,0.604878095039402,27.2,6.2494153,-2.07359962,2283.9876,25.5015858791751,23.4694,1.954513148543,38.6638237384506,48.5074626865672,63.0769230769231,15.7122,77.5448,62.3412,39.1283,0.1421,0,13.504,9.3461,14.9964,16.8798683724236,45.1314732054016,52.782210376688,0.17221788311296,0.198460070219833,0.143062758784674,0.106000988670649
31,1.18093518367347,0.238528257303,22.5,6.7790251,-3.75749675,2277.8686,26.3523138347365,26.2566,2.91508238276299,50.6548373468526,40.0929446556823,63.1190727081138,16.7546,76.1787,61.485,38.948,0.4225,0,10.9843,2.0279,26.7005,31.9814459231094,27.8834,48.982594000845,0.178662512644668,0.209661324459939,0.147669599289211,0.109157650739304
32,0.0735075918367347,0.485360292715796,23.5,-2.2918496,-1.38758597,2236.9486,10.1079282133362,8.506,18.4003315375052,32.739328636552,29.5068379610443,11.6573033707865,5.4701,80.6424,58.4194,34.5358,29.1339,7.2109,13.593,26.5645,3.2325,0.2072,20.0580765851637,24.3768048072938,0.217211737388767,0.259036536286629,0.172173566698455,0.13112599882427
33,2.1528450116249,0.220647636364301,23.7,0.4520559,1.44368697,2234.335,8.62730431518649,9.6283,13.5046919624643,35.3733170134639,31.6197470420237,10.4516129032258,5.4882,79.8111,57.5133,33.6532,4.5288,1.02,16.4423,24.1942,2.5296,0,51.2852716034272,46.9166217870257,0.181652201163135,0.214825085157284,0.13546944694552,0.108381765948115
