plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam
Myrsine_coriacea,Antilophia_galeata,Francisco_e_Galetti_(2001),(a) Gulpers,6.153846154,7.3,3.262
Schinus_terebinthifolius,Thraupis_sayaca,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,6.139013453,12,5.1
Viscum_album,Turdus_merula,Mellado_and_Zamora,(a) Gulpers,6.08,13.5,7.5
Doliocarpus_dentatus,Tyrannus_melancholicus,Gondim_(2002),(a) Gulpers,6,14.63333333,6.317807018
Ocotea_corymbosa,Empidonomus_varius,Gondim_(2002),(a) Gulpers,6,11.5,5.7
Siparuna_guianensis,Pachyramphus_validus,Gondim_(2002),(a) Gulpers,6,15.2125,3.9
Vitis_vulpina,Dendroica_coronata,Malmborg_and_Willson,(a) Gulpers,6,6,9.8
Phoradendron_tucumanense,Euphonia_cyanocephala,Di_Pauli,(b) Mashers,5.97,7.5,6.3
Myrsine_coriacea,Manacus_manacus,Correia_(1997),(a) Gulpers,5.882352941,10.5826087,3.262
Myrsine_coriacea,Legatus_leucophaius,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,5.871212121,13.2,3.262
Trema_micrantha,Ramphocelus_bresilius,Correia_(1997),(b) Mashers,5.62248996,11.73061224,3.366666667
Vitis_vulpina,Catharus_guttatus,Malmborg_and_Willson,(a) Gulpers,5.6,11.2,9.8
Myrciaria_ciliolata,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,5.5,14.1125,7.6
Miconia_chamissois,Thraupis_sayaca,Am?ncio_&_Melo_(2008),(b) Mashers,5.49315715,12,5.4
Vitis_vulpina,Catharus_minimus,Malmborg_and_Willson,(a) Gulpers,5.4,10.3,9.8
Alchornea_glandulosa,Turdus_rufiventris,Zimmermann_(1996),(a) Gulpers,5.39,14.50625,4.4
Schefflera_morototoni,Cacicus_cela,Purifica??o_et_al._(2015),(a) Gulpers,5.380434783,14.8,9.2
Myrsine_coriacea,Vireo_olivaceus,Pascotto_(2007),(a) Gulpers,5.376344086,10.23571429,3.262
Miconia_albicans,Antilophia_galeata,Silva_and_de_Melo,(a) Gulpers,5.36,7.3,7.62
Miconia_ligustroides,Tangara_cayana,Allenspach_et_al._(2012),(b) Mashers,5.320833333,8.65,5.715
Euterpe_edulis,Procnias_nudicollis,Castro_(2003),(a) Gulpers,5.294117647,22.2,13.3575
Acnistus_arborescens,Forpus_xanthopterygius,Athi?_e_Dias_(2010),(b) Mashers,5.263157895,9.15,7.135
Curatella_americana,Tyrannus_melancholicus,Pascotto_et_al._(2012),(a) Gulpers,5.263157895,14.63333333,13.9275
Miconia_ligustroides,Thraupis_palmarum,Allenspach_et_al._(2012),(b) Mashers,5.263157895,12,5.715
Miconia_albicans,Tyrannus_melancholicus,Allenspach_e_Dias_(2012),(a) Gulpers,5.179282869,14.63333333,7.62
Aegiphyla_sellowiana,Tangara_mexicana,Correia_(1997),(b) Mashers,5.128205128,8.65,7.1
Pera_glabrata,Cyanocorax_chrysops,Francisco_et_al._(2007),(a) Gulpers,5.094117647,19.5,3.7075
Phoradendron_affine,Pitangus_sulphuratus,Maruyama_et_al._(2012),(a) Gulpers,5.09375,16.35,6.3
Ilex_paraguariensis,Thraupis_bonariensis,Colussi_e_Prestes_(2011),(b) Mashers,5.090909091,10.54,6.807
Prunus_mahaleb,Columba_palumbus,Jordano_and_Schupp,(a) Gulpers,5.09,16,8.8
Myrsine_coriacea,Empidonomus_varius,Pascotto_(2007),(a) Gulpers,5.056179775,11.5,3.262
Myrsine_umbellata,Antilophia_galeata,Silva_and_de_Melo,(a) Gulpers,5.05,7.3,6.57
Eugenia_uniflora,Parula_pitiayumi,Colussi_e_Prestes_(2011),(a) Gulpers,5,6.2,18.95
Euterpe_edulis,Pyroderus_scutatus,Castro_(2003),(a) Gulpers,5,25,13.3575
Vassobia_breviflora,Tyrannus_melancholicus,Palacio_et_al.,(a) Gulpers,5,14.63333333,9.96
Vassobia_breviflora,Arremon_flavirostris,Palacio_et_al.,(b) Mashers,5,8.9,9.96
Lacistema_hasslerianum,Saltator_similis,Melo_e_Oliveira_(2009),(b) Mashers,4.903846154,12.05,5.85
Miconia_chamissois,Antilophia_galeata,Silva_and_de_Melo,(a) Gulpers,4.88,7.3,5.4
Phoradendron_tucumanense,Thraupis_sayaca,Di_Pauli,(b) Mashers,4.88,12,6.3
Pera_glabrata,Cyanocorax_chrysops,Gondim_(2002),(a) Gulpers,4.875,19.5,3.7075
Ocotea_corymbosa,Cyanocorax_cristatellus,Gondim_(2002),(a) Gulpers,4.8,18.2,5.7
Myrsine_coriacea,Myiodynastes_maculatus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,4.724409449,15.92,3.262
Pera_glabrata,Antilophia_galeata,Francisco_et_al._(2007),(a) Gulpers,4.710144928,7.3,3.7075
Myrsine_coriacea,Zonotrichia_capensis,Pascotto_(2007),(b) Mashers,4.705882353,9,3.262
Vassobia_breviflora,Turdus_rufiventris,Palacio_et_al.,(a) Gulpers,4.66,14.50625,9.96
Eugenia_uniflora,Turdus_subalaris,Colussi_e_Prestes_(2011),(a) Gulpers,4.545454545,13.5,18.95
Euterpe_edulis,Tityra_cayana,Castro_(2003),(a) Gulpers,4.545454545,10.9,13.3575
Curatella_americana,Brotogeris_chiriri,Pascotto_et_al._(2012),(b) Mashers,4.523809524,9.9,13.9275
Miconia_chamissois,Tyrannus_melancholicus,Am?ncio_&_Melo_(2008),(a) Gulpers,4.5,14.63333333,5.4
Curatella_americana,Volatinia_jacarina,Pascotto_et_al_(2012),(b) Mashers,4.418604651,7.8,13.9275
Schefflera_morototoni,Cotinga_cayana,Purifica??o_et_al._(2015),(a) Gulpers,4.405286344,16.9,9.2
Frangula_alnus,Turdus_merula,Hampe_2001,(a) Gulpers,4.4,13.5,8
Miconia_chamissois,Gnorimopsar_chopi,Am?ncio_&_Melo_(2008),(a) Gulpers,4.381067961,17.75,5.4
Myrsine_laetevirens,Elaenia_albiceps,Blendinger,(a) Gulpers,4.36,9.2,5.6
